subject_id,topic_id,atomic_topic_id,question_id,question,a,b,c,answer,aolution,image_q,image_a,difficulty,question_type,Mock,Session
4,19,44,Q147,"Connie Baker, CFA, must write a research report while her firm has a longstanding relationship with the subject company. Can she proceed?","No, she cannot write the report.","Yes, if disclosure is made of relationships.","Yes, if objectivity is maintained.",B,"The Answer is B. Baker may write the report on Jagged Rock Brewing if she discloses potential conflicts, including the directorships and the mergers-and-acquisitions relationship.",,,Easy,Conceptual,,1
4,19,45,Q148,"Ray Stone, CFA, follows the Amity Paving Company for his employer, Rubbell Securities.Rubbell is a market maker in Amity's common stock. Stone owns $10,000 face value of Amity's senior unsecured bonds. Last summer Stone's son, a college student, worked at Amity as a laborer. Which of these facts is Stone least likely required to disclose?",Stone's son’s employment at Amit.,Rubbell's broker-dealer relationship with Amity.,Stone's ownership of Amity securities.,A,"The Answer is A. Members are required to disclose all matters that reasonably could interfere with their objectivity. Personal ownership of securities or a broker-dealer relationship with a covered firm could reasonably interfere with objectivity, but it is unlikely that a family member's past employment would reasonably be expected to interfere with Stone's objectivity.",,,Easy,Conceptual,A,1
4,19,46,Q149,Dwight Dawson serves on a college committee while Brenda Hamilton trades in prohibited securities. Did they violate Standards?,"Dawson: No, Hamilton: Yes.","Dawson: Yes, Hamilton: Yes.","Dawson: No, Hamilton: No.",B,"The Answer is B. Dawson violated Standard VI(A), Disclosure of Conflicts, by failing to inform his employer of his involvement with Brightwood College. Hamilton also violated the Standard by ignoring her employer's directive.",,,Easy,Conceptual,,1
4,19,47,Q150,A CPA performs services for a CFA charterholder in exchange for referrals. What must be disclosed to clients?,Reveal to prospects referred that services are performed for free.,Only reveal the value of services performed for free.,Reveal that free services equate to a monetary referral fee.,C,"The Answer is C. Towers must disclose to prospects referred by Smith that he performs services for Smith and the estimated value of those services under Standard VI(C), Referral Fees.",,,Easy,Conceptual,,1
4,19,46,Q151,What is least likely a recommended procedure to comply with Priority of Transactions?,Blackout periods for personal trading.,Limited front-running by employees.,Disclosure of investment policies is necessary.,C,The Answer is C. Front-running should be completely prohibited under Standard VI(B). Limited front-running is not compliant. Blackout periods and pre-clearance of trades are recommended.,,,Easy,Conceptual,,1
4,19,46,Q152,An analyst delays personal trades for 24 hours after informing clients. Is this a violation?,"No, it follows Priority of Transactions.","Yes, as it is preferential treatment.","Yes, as the delay is inadequate.",C,The Answer is C. The analyst complied with Standard VI(B) by allowing clients 24 hours to act on the recommendation before executing his own trade.,,,Easy,Conceptual,,1
4,19,45,Q153,"Will Lambert, CFA, analyzes a company for which his former employer has pension holdings. What must he disclose?",Disclosure to employer is not required.,Disclosure to clients only is required.,Material beneficial ownership of company stock is required.,A,"The Answer is A. Lambert need not disclose that Offshore is an OTC market maker for Burch Corporation's stock, as it is not a conflict in this context. Other ownerships must be disclosed.",,,Easy,Conceptual,,1
4,19,45,Q154,Abner Flome is researching Paulsen Group while interviewing for a job there. What should he disclose?,Brother-in-law’s holding and interview disclosure.,Brother-in-law’s holding only.,Only the interview needs disclosure.,C,"The Answer is C. Flome must disclose his potential employment with Paulsen as it creates a potential conflict of interest, but he does not need to disclose his brother-in-law’s holdings.",,,Easy,Conceptual,,1
4,19,46,Q155,"Andy Rock, CFA, is connected to Biomed stock through his wife. When can trades in her account occur?",Only after clients and employer act.,As soon as information is public.,After firm and all stakeholders are notified.,A,The Answer is A. Trading on Rock's wife's account must wait until clients and his employer have had an appropriate opportunity to act on the recommendation.,,,Easy,Conceptual,,1
4,19,45,Q156,Phil Trobb researches a company with ties to family and consulting roles. What should he disclose?,His cousin's employment with the company.,Company consultant agreements only.,No disclosure is necessary.,B,"The Answer is B. Trobb does not need to disclose his cousin’s employment with Aneas, as it does not represent a conflict of interest. Other ownerships must be disclosed.",,,Easy,Conceptual,,1
4,19,47,Q157,"If a CFA charterholder receives a referral fee, he must:","disclose the fee to the supervisor, in written form, as an additional benefit.","consult with the firm's compliance officer, and follow his or her instructions concerning disclosure.",disclose the nature of the fee arrangement to the client before entering into a formal agreement.,C,The Answer is C. Referral fees must be disclosed to the client before entering into a formal agreement to allow them to evaluate partiality and the full cost of the service.,,,Easy,Conceptual,A,1
4,19,45,Q158,"Arthur Harrow, CFA, has ties to two companies he must research. What must he disclose?",Disclosure of both relationships and ownership.,Disclosure of Wonder shares ownership only.,Disclosure is mandatory for both relationships.,C,"The Answer is C. Harrow must disclose his board membership with Miracle and his ownership of Wonder's shares, as both represent conflicts of interest.",,,Medium,Conceptual,,1
4,19,45,Q159,An analyst serves on the Board of a publicly traded company. Who must be informed?,Both employer and clients.,Employer only.,"None, as it is irrelevant.",A,"The Answer is A. The analyst must disclose their board membership to both employer and clients to comply with Standard VI(A), Disclosure of Conflicts.",,,Easy,Conceptual,,1
4,19,46,Q160,An analyst includes his brother in hot new issue shares allocation. Is this congruent with the Standards?,Congruent as long as no direct interest exists.,Congruent as long as his brother is not a covered person.,Congruent if the practice is disclosed to the employer.,A,The Answer is A. Client accounts that belong to family members should be treated like other client accounts unless there is a direct interest from the analyst.,,,Easy,Conceptual,B,1
4,19,46,Q161,Samuel Goldstein places orders for his father’s account. What is the correct sequence?,"Client accounts first, father's second, personal last.",Personal accounts must always be last.,"Employer, client, and personal accounts equally.",C,The Answer is C. Family accounts considered client accounts should receive the same treatment as client accounts. The analyst's account is prioritized last.,,,Easy,Conceptual,,1
4,19,46,Q162,"Isaac Jones, CFA, wishes to buy Maxima common stock for some of his clients' accounts.Jones also wishes to purchase Maxima for his personal account. In accordance with CFA Institute Standards, Jones:","may purchase Maxima for his personal account, but the transactions for his clients must take priority.","must disclose his personal account purchase, in writing and in advance, to his clients and employer.","may purchase Maxima at any time, as long as the execution price is not more favorable than the execution price given to the clients.",A,"The Answer is A. In accordance with Standard VI(B) Priority of Transactions, employer and client transactions must take priority over any personal transactions, meaning any transactions in which the member or candidate is the beneficial owner. Disclosure is not enough.",,,Medium,Conceptual,A,1
4,19,45,Q163,"What does Standard VI(A), Disclosure of Conflicts, exclude from disclosure requirements?",Real estate holdings.,Corporate finance relationships.,Beneficial ownership only when under the firm.,B,The Answer is B. Disclosure of real estate holdings is not required unless they impair independence or objectivity. Other beneficial ownerships must be disclosed.,,,Easy,Conceptual,,1
4,19,44,Q164,"Ryan Brown, CFA, analyzes QRS stock while holding a personal investment. What must he do?",Disclosure of stock ownership is mandatory.,Stock holdings may be kept undisclosed.,Ownership disclosure is encouraged but not required.,C,"The Answer is C. Brown must disclose his ownership of QRS stock to comply with Standard VI(A), Disclosure of Conflicts. Selling shares or declining the report is not required.",,,Easy,Conceptual,C,1
4,19,47,Q165,"What does Standard VI(C), Referral Fees, require to be disclosed?",Fees paid or received must be disclosed before agreements.,Fees must be disclosed before client agreements.,Fees may be omitted if unrelated to current services.,B,The Answer is B. The percentage of business from referrals is not required to be disclosed under Standard VI(C). All other referral arrangements must be disclosed.,,,Easy,Conceptual,,1
4,19,46,Q166,"An analyst likes to trade commodity futures in her own account. She does not deem any of her client accounts suitable for commodity futures trading. When she identifies a favorable commodity futures position, the Standard concerning priority of transactions suggests she should:",act on it on her own behalf as she sees fi,first tell her clients about it before acting hersel,refrain from acting until she notifies her supervisor,A,"The Answer is A. The analyst's commodity futures trading is not a violation of Standard VI(B) Priority of Transactions because the investment is not suitable for her clients. If the analyst believes that none of her clients should trade commodity futures, she is not obligated to advise them of her own investments in them.",,,Medium,Conceptual,B,1
4,19,44,Q167,Referral fees a member must disclose to a prospective client include which fees?,Fees both paid and received.,Fees received only.,Only independent auditors with report access.,C,"The Answer is C. Both fees a member receives and pays for referrals must be disclosed to employers, clients, and prospects under Standard VI(C).",,,Easy,Conceptual,,1
4,19,46,Q168,Who qualifies as an access person under Priority of Transactions?,Research reviewers with access to reports.,Mailroom staff with physical report access.,Wife’s direct shareholding material beneficial ownership.,C,The Answer is C. Supervisory analysts reviewing research are considered 'access persons' under Standard VI(B). Independent auditors are not.,,,Easy,Conceptual,,1
4,19,45,Q169,Will Lambert analyzes Burch Corporation with multiple ties. What is he least likely required to disclose?,Son-in-law's former employment with the company.,Family trust material beneficial ownership.,Policy changes are proprietary; no need for disclosure.,A,"The Answer is A. Lambert need not disclose that his son-in-law was employed by Burch in the past, as it does not represent a conflict of interest. Other ownerships must be disclosed.",,,Easy,Conceptual,,1
4,19,45,Q170,Harry Lee has a bonus linked to quarterly trading profits. What is the best practice for disclosure?,Disclose updated policy upon implementation.,Obtain prior client permissions before linking bonuses.,Both facts must always be disclosed.,A,The Answer is A. Best practices under Standard VI(A) dictate updating disclosures about changes in compensation policies to inform clients of potential conflicts of interest.,,,Easy,Conceptual,,1
4,19,45,Q171,"Rochester Frankfurt is a market maker in the stock of Byrne Brands, Inc. The chairman of Rochester Frankfurt serves on the board of directors of Byrne Brands. If an analyst at Rochester Frankfurt who is a CFA charterholder makes an investment recommendation on Byrne Brands, which of these two facts is the analyst required to disclose?",Neither of these facts.,Both of these facts.,Only one of these facts.,B,The Answer is B.Both of these are examples of potential conflicts of interest that Standard VI(A) Disclosure of Conflicts requires members or candidates to disclose.,,,Difficult,Conceptual,B,1
4,19,47,Q172,A CFA charterholder outlines referral fee arrangements in a client packet. Does this meet Standards?,Only if details are disclosed before the client joins.,Fails if clients receive after becoming clients.,Employer approval ensures compliance.,C,"The Answer is C. Providing clients with referral fee details before they become clients complies with Standard VI(C), Referral Fees.",,,Easy,Conceptual,,1
4,19,44,Q173,An analyst inherits stock in a company he covers. What must he do?,Disclosure to the employer is sufficient.,Should divest the holdings immediately.,Only referral cases reaching 50% thresholds.,A,The Answer is A. The analyst must disclose their ownership of inherited stock under Standard VI(A) and must also disclose it in any future coverage of the company.,,,Easy,Conceptual,,1
4,19,47,Q174,The Standard concerning referral fees is applicable to which scenarios?,Only when services result in material benefits.,"Only as received, not the paying party.","Only as serviced,with the paying party.",B,"The Answer is B. Referral fees must include any consideration received or paid for a recommendation under Standard VI(C), Referral Fees.",,,Easy,Conceptual,,1
4,13,48,Q175,An analyst has not paid his CFA Institute dues for several years but has filed a professional conduct statement annually. What is his status?,May not use CFA designation.,Is an active member of CFA Institute.,May not refer to CFA Charterholder status.,A,"The Answer is A. Standard VII(B), Reference to CFA Institute, the CFA Designation, and the CFA Program, prohibits using the CFA designation if dues are unpaid, though factual reference to past status is allowed.",,,Easy,Conceptual,,1
4,13,48,Q176,What is NOT required to maintain active CFA membership?,Passing each exam in no more than two tries.,Paying annual CFA membership dues.,Submitting annual Professional Conduct Statement.,A,The Answer is A. Passing each exam in no more than two tries is not required to maintain active status. Annual dues payment and submission of the Professional Conduct Statement are mandatory.,,,Easy,Conceptual,A,1
4,13,49,Q177,"For the past 5 years, Karen Beckworth, CFA, has served as a proctor for the CFA exam. Beckworth tells her assistant, a Level III CFA candidate, that she normally receives the examinations on the Thursday before the exam. Given the low pass rate at Level III, Beckworth asks her assistant if he would like an advance copy of the next exam. Beckworth'sbassistant declines the offer. Beckworth's assistant has been very vocal about expressing his opinions about the low pass rate. The assistant claims, ""there are too many charterholders and CFA Institute is deliberately failing candidates because the prestige of the CFA charter is becoming diluted."" With regard to Standard VII(A) Conduct as Participants in CFA Institute Programs, which of the following statements concerning Beckworth's and her assistant's behavior is most accurate?",Neither Beckworth nor her assistant is in violation of Standard VII(A).,Both Beckworth and her assistant are in violation of Standard VII(A).,"Beckworth is in violation of Standard VII(A), but her assistant is not in violation.",C,"The Answer is C. Beckworth is in violation of Standard VII(A), Conduct as Participants in CFA Institute Programs. Beckworth compromised the integrity of the exam by offering her assistant an advance copy. Beckworth's assistant is allowed to express his opinion without violation of any Standards.",,,Easy,Conceptual,B,1
4,13,50,Q178,Julie Stades retired and puts 'earned CFA designation 10 years ago' on her resume. Is this compliant?,"Yes, as she is no longer active.","No, does not indicate active membership.","No, as long as current status is not implied.",B,The Answer is B. Stades may state she earned the CFA designation as long as she does not imply current active membership.,,,Easy,Conceptual,,1
4,13,48,Q179,"Stephanie Irons, a Level II CFA candidate, regularly posts in internet chat rooms dedicated to candidates studying for the Level II exam. Throughout the season, she and other candidates discuss curriculum content in great detail. Three days after her exam window ends, she returns to the site and vents her frustrations over complicated exam questions by posting questions she remembers on the site, and asking others for their responses and reasoning. Other candidates follow suit and post the questions they remember. Irons and her fellow candidates are most likely:",Violation for discussing exam content.,Not a violation since post-exam window.,No violation for discussing omissions.,C,"The Answer is C. Irons and her peers violated Standard VII(A) by discussing and sharing exam content, which is confidential even after the exam concludes.",,,Easy,Conceptual,,1
4,13,50,Q180,John Johnson states he will 'rightfully be awarded the CFA Charter' in promotional materials. Is this compliant?,Violated for implying superior performance.,Violated for promoting without Charter.,No violation as CFA disclosure requirements met.,C,The Answer is C. Johnson violated Standard VII(B) by implying superior performance tied to the CFA designation. Statements must not imply outcomes.,,,Easy,Conceptual,,1
4,13,50,Q181,Albert lists 'CFA Candidate' on her card; Tye indicates CFA involvement in brochures. Are they compliant?,Albert violated; Tye did not.,Neither violated Standards.,Both Albert and Tye violated.,C,"The Answer is C. Neither Albert nor Tye violated the Standards. Albert can mention her candidacy, and Tye can reference program participation and passed levels factually.",,,Easy,Conceptual,,1
4,13,50,Q182,Which is NOT an appropriate CFA designation use?,Claiming outperformance with CFA credential.,Stating CFA candidacy on a business card.,Claiming CFA levels completed on first try.,A,The Answer is A. Members may not claim the CFA designation ensures outperformance. Describing the CFA requirements factually is acceptable.,,,Easy,Conceptual,,1
4,13,49,Q183,Ron Vasquez claims CFA Institute limits charters for cash flow. Has he violated Standards?,Violation of both misconduct and participation Standards.,Violation of misconduct Standards only.,No violation of any Standard.,C,The Answer is C. Vasquez did not violate Standard VII(A) or Standard I(D) by expressing opinions about CFA Institute or the exam process.,,,Easy,Conceptual,,1
4,13,49,Q184,Which is NOT a violation of conduct as CFA participants?,Improper use of CFA designation to gain business.,Disagreeing with CFA Institute policies publicly.,Disregard for CFA exam rules.,B,The Answer is B. Expressing disagreement with CFA advocacy positions is not a violation. Misuse of the CFA designation or breaking exam rules would violate Standard VII(A).,,,Easy,Conceptual,,1
4,13,50,Q185,Which promotional service statement complies with Standards?,Passed Level II in 2003.,Guaranteed 20% return claim.,Claiming CFA candidacy in resumes.,C,The Answer is C. Candidates may state passed CFA levels and dates. Promises of returns or guarantees are violations.,,,Easy,Conceptual,,1
4,13,50,Q186,Zeller claims CFA candidacy correctly; Toffler states 'CFA II.' Who violated Standards?,Only Toffler violated.,Both violated Standards.,Neither violated Standards.,B,"The Answer is B. Toffler violated Standard VII(B) by incorrectly using 'CFA II,' which is not an acceptable designation. Zeller followed Standards.",,,Easy,Conceptual,,1
4,13,50,Q187,What can Jason Jones state as a CFA Level II candidate?,Can claim 'Level II CFA Candidate.',Can say 'passed Level I CFA exam.',Cannot use Level I designation post-passing.,B,The Answer is B. Jones may state his Level II candidacy but may not imply partial designation or call himself a CFA Level I holder.,,,Easy,Conceptual,,1
4,13,50,Q188,Which is appropriate for a Level II candidate to claim?,Passed Level I CFA exam.,Level I CFA Charterholder.,Level II CFA holder.,B,The Answer is B. The statement 'I passed Level I of the CFA exam' is appropriate and factually correct without implying partial designation.,,,Easy,Conceptual,,1
4,13,50,Q189,A member claims 'passed all CFA levels on first try' on resume. Is this a violation?,"No, it is factual.","Yes, refers incorrectly to CFA exam.","Yes, misrepresents candidacy terms.",B,The Answer is B. Stating passing exams on the first try is factual and not a violation. Implying superior performance capabilities would violate Standard VII(B).,,,Easy,Conceptual,,1
4,13,50,Q190,Which resume statement is a CFA violation?,Claims superior ability with CFA credential.,Tied CFA to ethical superiority.,Claimed outperformance with CFA Charter.,C,The Answer is C. Charterholders may not claim the CFA designation proves superior ability. Describing the program factually is permitted.,,,Easy,Conceptual,,1
4,13,50,Q191,Who may refer to themselves as CFA candidates?,"Not Registered for next exam, passed Level I or II.","Passed Level I, awaiting registration for next exam.",Must be registered for the next exam.,C,The Answer is C. Only candidates registered for an upcoming exam or awaiting results may refer to themselves as CFA candidates.,,,Easy,Conceptual,B,1
4,13,49,Q192,Stephanie Orange discusses exam omissions in blogs. Has she violated Standards?,Violation for disclosing exam content.,No violation since discussing omitted topics.,No violation for non-specific discussions.,A,"The Answer is A. Discussing exam topics tested or not tested is a violation of Standard VII(A), as it discloses confidential information.",,,Easy,Conceptual,,1
4,13,50,Q193,"Judy Albert and Bob Tye, who recently started their own investment advisory business, plan to take the Level III CFA examination next year. Albert's business card reads, ""Judy Albert, CFA Candidate."" Tye has not put anything about the CFA on his business card. However, the firm's promotional materials describe the CFA requirements and indicate that Tye participates in the CFA program and has completed Levels I and II. According to CFA Institute Standards of Professional Conduct:",Albert has violated the Standards but Tye has not.,Both Albert and Tye have violated the Standards.,Neither Albert nor Tye has violated the Standards.,A,"The Answer is A. On letterheads and business cards and in directory listings, only the mark CFA or the words Chartered Financial Analyst should appear after the charterholder's name.",,,Medium,Conceptual,B,1
4,13,50,Q194,Do Davis and Taylor violate Standards in marketing CFA details?,Only Davis violated.,Only Taylor violated.,Neither violated Standards.,A,The Answer is A. Davis violated Standard VII(B) by stating an expected exam result. Taylor complied by stating facts about past performance.,,,Easy,Conceptual,,1
4,13,50,Q195,Smith links firm analysts' CFA designation to superior service. Is this a violation?,"Yes, tied CFA to service quality.",No violation for mentioning CFA credential.,No violation for internal CFA references.,A,The Answer is A. Smith violated Standard VII(B) by claiming the CFA designation guarantees better service. Mentioning the designation factually is allowed.,,,Easy,Conceptual,,1
4,13,50,Q196,Arnold claims 'soon awarded CFA Charter' in resumes. Has she violated Standards?,Violated misrepresentation and CFA reference Standards.,Violated CFA reference Standards only.,Violated misrepresentation Standards only.,C,The Answer is C. Arnold violated Standards I(C) and VII(B) by misrepresenting her major and improperly referring to the CFA designation.,,,Easy,Conceptual,,1
4,21,51,Q197,Which of the following parties may adopt and claim compliance with Global Investment Performance Standards (GIPS)?,A software firm that developed a software package that assists investment firms in achieving GIPS compliance.,The chief compliance officer for a regional money manager.,An investment management firm located in Indonesia.,C,"The Answer is C. Only an investment management firm that actually manages assets can claim compliance with GIPS, not individuals or software providers.",,,Easy,Conceptual,,1
4,21,51,Q198,The section of the Global Investment Performance Standards (GIPS) that outlines defining the firm and documenting firm policies and procedures is:,Composite and Pooled Fund Maintenance.,GIPS Advertising Guidelines.,Fundamentals of Compliance.,C,The Answer is C. The Fundamentals of Compliance section of GIPS outlines defining the firm and documenting firm policies and procedures as a foundation for compliance.,,,Easy,Conceptual,,1
4,21,51,Q199,Which of the following statements most accurately describes the requirements for GIPS verification?,A firm must select a representative set of composites for third-party GIPS verification.,Third-party verification is required for a firm to claim compliance with GIPS.,"Verification of GIPS compliance is recommended, but not required.",C,"The Answer is C. Verification of GIPS compliance is recommended but not required. If performed, it must involve third-party verification of the entire firm's practices, not selected composites.",,,Easy,Conceptual,,1
4,21,51,Q200,"When measuring and presenting their investment performance, GIPS compliant firms are required to:",Include terminated accounts in their performance history.,Exclude time periods that are unrepresentative of the firm’s performance history.,Disclose the performance of the best-performing accounts in each composite.,A,The Answer is A. GIPS requires firms to include terminated accounts in their performance history to avoid survivorship bias. Excluding such accounts or showing only the best-performing ones is misleading.,,,Easy,Conceptual,,1
4,21,51,Q201,The purpose of composites in a GIPS-compliant performance presentation is to:,Clearly distinguish the entity that is presented to the public as a GIPS-compliant firm.,Provide information about a firm’s performance in various asset classes or investment strategies.,Present overall firm performance in a single statistic that is comparable across firms.,B,The Answer is B. Composites are intended to provide information about a firm's performance in managing various asset classes or investment strategies.,,,Easy,Conceptual,B,1
4,21,51,Q202,"When verifying a firm's compliance with Global Performance Investment Standards (GIPS), the verifier must:",Attest that the firm’s processes and procedures are established to present performance in accordance with GIPS requirements.,Clearly identify the composites for which verification has been performed.,Disclose whether the verification was performed by the firm’s internal auditors or a third party.,A,The Answer is A. Verification requires the verifier to attest that the firm’s processes and procedures are established to present performance in compliance with GIPS requirements.,,,Easy,Conceptual,,1
4,21,51,Q203,Which of the following statements most accurately describes verification under the Global Investment Performance Standards (GIPS)?,Is required for a firm to claim GIPS compliance.,Requires a verification report to be issued for the entire firm.,Requires verification of individual composites.,B,The Answer is B. A single verification report must be issued for the entire firm. Verification of individual composites is not permissible under GIPS.,,,Easy,Conceptual,A,1
4,21,51,Q204,"McGregor Investment Management promotes itself as a fixed-income investment management firm. The vast majority of the discretionary portfolios it manages are fixed-income portfolios. McGregor does, however, manage a few portfolios utilizing a growth equity investment strategy, but the firm has no intention of ever promoting this strategy. Under the Global Investment Performance Standards (GIPS), must these portfolios be included in a composite?","Yes, because the portfolios are discretionary.","Yes, because the portfolios are managed to a widely recognized investment strategy.","No, because the firm does not normally manage portfolios to a growth equity strategy and does not promote it to potential clients.",A,"The Answer is A. GIPS requires all discretionary portfolios to be included in composites, even if the firm does not intend to promote a specific strategy.",,,Easy,Conceptual,A,1
4,21,51,Q205,"Lora Murphy has an account at Ferrell Investments, a GIPS-compliant firm. Murphy invests in small-cap value stocks and pays Ferrell a standard fee to execute her buy and sell orders, but does not permit her account manager to initiate trades on her behalf. According to GIPS, is Ferrell required to include Murphy's portfolio in their small-cap value stock composite?","Yes, because the portfolio is consistent with the defined strategy for this composite.","No, because constructing composites is voluntary.","No, because the portfolio is non-discretionary.",C,The Answer is C. GIPS excludes non-discretionary accounts from composites. Accounts where clients restrict the firm’s ability to implement its strategy are considered non-discretionary.,,,Easy,Conceptual,B,1
4,21,51,Q206,"With regard to Global Investment Performance Standards (GIPS), if the Chief Investment Officer of an investment advisory firm also is a CFA charterholder:",The firm is required to comply with GIPS.,The charterholder is required to comply with GIPS.,Neither the firm nor the charterholder are required to comply with GIPS.,C,"The Answer is C. Adoption of GIPS is voluntary for firms, and GIPS applies only to firms, not individual charterholders.",,,Easy,Conceptual,,1
4,21,51,Q207,"Viroqua DeSoto, CFA, is reading a discussion in an online forum about the construction and purpose of composites in performance reporting. She finds these statements from participants: (1) The purpose of composites is to let investors know how well a firm has performed managing different types of securities or investment strategies. (2) A managed portfolio should have a performance history of at least one year before the firm assigns it to a composite. With respect to both statements:",Both are correct.,Both are incorrect.,Only one is correct.,C,"The Answer is C. The first statement about the purpose of composites is correct, while the second about requiring a one-year performance history before assigning to a composite is incorrect.",,,Easy,Conceptual,,1
4,21,51,Q208,Which of the following statements most accurately describes why the Global Investment Performance Standards (GIPS) were created?,Meet the need for a single globally accepted set of investment performance presentation standards.,Provide a single globally accepted set of regulatory guidelines among developed securities markets.,Establish ethical requirements for individuals who are responsible for performance presentation.,A,"The Answer is A. GIPS was created to meet the need for a single, globally accepted set of investment performance presentation standards.",,,Easy,Conceptual,A,1
4,21,51,Q209,Which of the following is least likely one of the eight sections of the GIPS standards for firms?,Pooled Fund Money-Weighted Return Report.,Input Data and Calculation Methodology.,Implementation and Verification.,C,"The Answer is C. The eight sections of GIPS do not include Implementation and Verification. The listed sections focus on compliance, reporting, and calculation methodologies.",,,Easy,Conceptual,,1
4,21,51,Q210,Which of the following statements about a GIPS-compliant firm's verification of GIPS compliance is most accurate?,"Optional, but if chosen it must be performed by an independent third party.","Required, and may be performed by the firm’s internal auditors.","Required, and must be performed by an independent third party.",A,"The Answer is A. Verification of GIPS compliance is optional. If undertaken, it must be performed by an independent third party to ensure objectivity and adherence to standards.",,,Easy,Conceptual,,1
4,21,51,Q211,"Deloris Johnson, CFA, observed that her supervisor has violated a federal securities regulation. Johnson discussed the matter with her company's compliance department but they have taken no action. According to the CFA Institute Code and Standards of Professional Conduct, Johnson is required to:",Confront the supervisor and attempt to stop the violation.,Dissociate from the supervisor’s activity.,Report the violation to securities regulators.,B,The Answer is B. Johnson must dissociate herself from her supervisor's activity. The Code and Standards do not require her to confront the supervisor or report the violation unless required by law.,,,Easy,Conceptual,,1
4,21,51,Q212,"Calvin Doggett, CFA, has been contacted by the CFA Institute Professional Conduct Program (PCP) regarding allegations that he has taken investment actions that were unsuitable for his clients. Doggett is questioned by PCP concerning the identity of his clients he considered suitable for investing in a very risky start-up company that eventually went bankrupt. Doggett will:","Not violate the Code and Standards by revealing the names, financial condition and investment objectives of his clients to PCP.",Not violate the Code and Standards only if he reveals the financial condition and investment objectives of his clients on an anonymous basis and does not reveal the names of his clients to PCP.,Violate the Code and Standards by fully cooperating with a PCP investigation if it means revealing confidential information.,A,"The Answer is A. Standard III(E) permits revealing client information during a PCP investigation as PCP maintains confidentiality, and cooperation is expected.",,,Easy,Conceptual,A,1
4,21,51,Q213,The section of the Global Investment Performance Standards (GIPS) that outlines defining the firm and documenting firm policies and procedures is:,Composite and Pooled Fund Maintenance.,GIPS Advertising Guidelines.,Fundamentals of Compliance.,C,"The Answer is C.According to Section 1, Fundamentals of Compliance, the definition of the firm is the foundation for firm-wide compliance and creates boundaries in order to determine total firm assets.",,,Difficult,Conceptual,A,1
4,21,51,Q214,"Heidi Krueger, CFA, an investment advisor, applies soft dollars generated from client accounts to purchase a report on the economic impact of world events, and to purchase a new conference table for the office she uses to meet with clients and prospects. Do these two purchases violate the Standard related to loyalty, prudence, and care?",Neither of these purchases violates the Standard.,Only one of these purchases violates the Standard.,Both of these purchases violate the Standard.,B,The Answer is B. Using soft dollars for office furniture violates client benefit standards. Purchasing research reports is allowed if the research benefits clients.,,,Easy,Conceptual,B,1
4,21,51,Q215,"Nancy Hall, a candidate in the CFA program, is an analyst for a mutual fund. As part of her job she makes company visits to interview executives. On a recent trip she stayed with her sister instead of at a hotel. In her expenses ,Hall, included a hotel charge of $100, which was less than the amount allowed by her employer. After receiving a check for her expenses, Hall disclosed to her supervisor that she had stayed with her sister instead of at a hotel. She also returned the $100 to her employer. Which of the statements is correct ?",Hall did not engage in professional misconduct because she eventually disclosed this information and returned the $100 to her employer.,Hall did not engage in professional misconduct because she did not meet all of the requirements to use the CFA designation.,Hall engaged in professional misconduct.,C,"The Answer is C. Hall engaged in professional misconduct by submitting a false expense claim, even though she later returned the money.",,,Easy,Conceptual,B,1
4,21,51,Q216,"Ralph Lim and Susan Bland have both passed Level I of the CFA Program. Both are currently enrolled to sit for Level II. Lim's business card reads, 'Ralph Lim, CFA Level I.' Bland's resume states, 'Level II Candidate in the CFA Program.' According to CFA Institute Standards of Professional Conduct involving use of the professional designation:","Bland violated the Standard, but Lim did not.",Both Lim and Bland violated the Standard.,"Lim violated the Standard, but Bland did not.",C,The Answer is C. Lim violated the Standards by misusing the CFA designation. Bland's statement about her candidacy is acceptable.,,,Easy,Conceptual,B,1
4,21,51,Q217,"Paul Thomas, CFA, is designing a new layout for research reports his firm writes and issues on individual stocks. In his design, Thomas includes a stock chart on the first page of each report. He does not reference that the charts are copied from an unrecognizable finance website. Thomas has:",Violated CFA Institute Standards of Professional Conduct because he did not state the source of the charts.,Not violated CFA Institute Standards of Professional Conduct because these charts are widely available over the internet.,Violated CFA Institute Standards of Professional Conduct because he did not make sure that the information in these charts is accurate.,A,The Answer is A. Thomas violated Standard I(C) Misrepresentation by failing to cite the source of charts copied from an external website.,,,Easy,Conceptual,B,1
4,21,51,Q218,"When measuring and presenting their investment performance, GIPS compliant firms are required to:",include terminated accounts in their performance history.,exclude time periods that are unrepresentative of the firm's performance history.,disclose the performance of the best-performing accounts in each composite.,A,"The Answer is A. Because excluding terminated accounts introduces survivorship bias, GIPS requires firms to include these accounts in their performance history. The other two choices describe misleading performance presentation practices that GIPS are designed to avoid.",,,Medium,Conceptual,B,1
4,21,51,Q219,"George Tanaka, CFA, is approached by a colleague asking him to cover a stock with which George has no familiarity. What must Tanaka do under the Standards?",Refuse and insist on conducting thorough research before issuing a recommendation.,Accept the assignment but disclose limited knowledge to colleagues.,Decline the assignment and inform supervisors of the reasons.,B,"The Answer is B. Hirsh must receive her employer's permission in writing before accepting benefits that could create a conflict of interest, as per Standard IV(B).",,,Easy,Conceptual,,1
